ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,PI16_DATE,Child_Age
353,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,25.49760438056126
353,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,13.49760438056126
353,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,11.49897330595483
355,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,11.13483915126626
355,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,8.917180013689254
355,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,4.824093086926762
356,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,8.766598220396988
357,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,10.9596167008898
357,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,12.82409308692676
359,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,7.427789185489391
359,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,2.841889117043121
359,Children With Biological Father,0,Male,No,,Biological Mother,, ,04 Jul 15,8.728268309377139
359,Children With Biological Father,0,Male,No,,Biological Mother,, ,04 Jul 15,8.728268309377139
359,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,22.36550308008214
359,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,22.36550308008214
359,Children From Other Unions,1,Female,Yes,No,Biological Mother,Sibling (Sister), ,04 Jul 15,19.55920602327173
359,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,15.10198494182067
359,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,12.90349075975359
359,Children From Other Unions,1,Male,No,,Biological Mother,, ,04 Jul 15,12.90349075975359
360,Children With Biological Father,0,Male,Yes,No,Biological Mother,Step-Mother, ,04 Jul 15,8.05201916495551
360,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,6.050650239561944
360,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,04 Jul 15,13.91101984941821
362,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,9.905544147843942
364,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,6.740588637919234
364,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,14.7460643394935
364,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,13.7138945927447
364,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,5.746748802190281
365,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,8.334017796030116
365,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,5.861738535249829
366,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,21.8590006844627
366,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,16.70362765229295
366,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,15.61122518822724
366,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,13.61533196440794
366,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,05 Jul 15,9.612594113620808
374,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,10.91307323750856
374,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,02 Jul 15,8.621492128678987
375,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,06 Jul 15,11.07186858316222
376,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,2.907597535934292
377,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,5.097878165639973
377,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,.4106776180698152
380,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,9.333333333333334
382,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,09 Jul 15,8.999315537303216
383,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,20.33127994524298
383,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,20.74469541409993
384,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,20.72279260780287
384,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,15.72073921971253
384,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,18.82819986310746
384,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,08 Jul 15,16.66255989048597
387,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,07 Jul 15,7.255304585900069
