PI7,ID,S10_2,S10_3,S10_4_Y,S10_4_M,S10_4_D,S10_4,S10_5,S10_6_Y,S10_6_M,S10_6_D,S10_6,S10_7,S10_8
A75B3AA6-82E7-48E5-8772-AFCCE12E7283,73,1,Cohabitating,2015,2,1,01 Feb 15,No,2009,6,1,01 Jun 09,Widowed,4
344B5E45-6B41-4ECB-8A3E-11C2DE999A93,64,1,0,2014,6,1,01 Jun 14,Yes,,,,,Separated,1
B7A1889C-FDD1-44F7-86ED-9618DF0511BB,476,1,Non-Cohabitating Casual Relationship,2002,7,1,01 Jul 02,No,2012,7,1,01 Jul 12,Separated,3
D152920A-2043-4BA0-856E-963F5EA96D9C,1,1,Non-Cohabitating Casual Relationship,2004,5,1,01 May 04,No,2007,6,1,01 Jun 07,Separated,1
5BC2DC65-217E-47D8-A82A-C8793C0D423B,223,1,0,2005,1,1,01 Jan 05,No,,,,,Separated,2
31C2F32C-384E-4D60-B16E-A95290E97F2A,405,1,Cohabitating,1998,7,1,01 Jul 98,No,2005,10,1,01 Oct 05,Separated,2
EFECD995-08EA-40A5-9547-705FEE8A0B23,204,1,Non-Cohabitating Casual Relationship,1900,6,1,01 Jun 00,No,1900,5,1,01 May 00,Separated,2
3C8BC192-14C3-4E9C-93F7-8844EA720D1B,463,1,Married,1989,7,1,01 Jul 89,No,1999,7,1,01 Jul 99,Widowed,2
10E0D4C0-A9E3-4DF8-91CE-15BE3D1C3E0B,17,1,Cohabitating,2000,6,1,01 Jun 00,No,2003,4,1,01 Apr 03,Separated,2
069C6856-173E-42A2-A895-E163B59FC632,256,1,Married,1987,2,1,01 Feb 87,No,1992,6,1,01 Jun 92,Separated,2
C2C3866D-3E5E-43B7-B7E8-132916BBDB23,109,1,Non-Cohabitating Steady Relationship,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,1
F088EB28-665C-4704-BD63-C66746FE5B1A,11,1,Cohabitating,1900,1,1,01 Jan 00,No,1900,1,1,01 Jan 00,Separated,1
38DE00EC-61DF-451F-9649-A539C6D6E0A3,97,3,0,1900,1,1,01 Jan 00,No,,,,,,1
38DE00EC-61DF-451F-9649-A539C6D6E0A3,97,1,0,1900,1,1,01 Jan 00,No,,,,,Separated,1
38DE00EC-61DF-451F-9649-A539C6D6E0A3,97,4,0,1900,1,1,01 Jan 00,No,,,,,Separated,1
38DE00EC-61DF-451F-9649-A539C6D6E0A3,97,2,0,1900,1,1,01 Jan 00,No,,,,,Separated,1
2D035DCA-FA3D-46CD-AF92-D5426CBBCA85,38,1,Non-Cohabitating Casual Relationship,2011,5,1,01 May 11,No,2012,5,1,01 May 12,Separated,1
F41D9FB0-33AF-45D1-B192-050888FD742C,37,4,Non-Cohabitating Steady Relationship,2013,7,1,01 Jul 13,No,2014,6,1,01 Jun 14,Separated,1
F41D9FB0-33AF-45D1-B192-050888FD742C,37,2,0,1900,1,1,01 Jan 00,Don't Know,,,,,Separated,1
F41D9FB0-33AF-45D1-B192-050888FD742C,37,1,0,1900,1,1,01 Jan 00,No,,,,,Separated,1
F41D9FB0-33AF-45D1-B192-050888FD742C,37,3,Non-Cohabitating Steady Relationship,2004,6,1,01 Jun 04,Yes,,,,,Separated,1
028191D3-8CD1-49C7-835A-99C6E4A8526F,246,1,Non-Cohabitating Casual Relationship,2002,6,1,01 Jun 02,No,1900,6,1,01 Jun 00,Separated,1
