ID,Child_Type,Union,Gender,Alive,Livewith,Relation,Caregiver,Slum,BINT_TIME1_DATE,Child_Age
134,Children With Biological Father,0,Female,Yes,No,Biological Mother,Biolgical Mother, ,28 Jan 16,8.030116358658454
134,Children With Biological Father,0,Male,Yes,No,Biological Mother,Biolgical Mother, ,28 Jan 16,8.030116358658454
134,Children Not Mentioned,,Male,Yes,Yes,,Biolgical Mother, ,28 Jan 16,14.53251197809719
136,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,3.159479808350445
137,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,3.069130732375085
139,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,9.333333333333334
140,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,10.20944558521561
141,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,3.816563997262149
142,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,11.48528405201916
142,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,9.278576317590691
143,Children With Biological Father,0,Female,Yes,No,Biological Mother,Paternal Grandparent, ,29 Jan 16,9.325119780971937
143,Children With Biological Father,0,Female,Yes,No,Biological Mother,Paternal Grandparent, ,29 Jan 16,6.559890485968515
145,Children From Other Unions,1,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,15.23066392881588
145,Children From Other Unions,2,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,8.728268309377139
145,Non-Biological Children Under Five,,Female,,Yes,Maternal Aunt,Biolgical Mother, ,26 Jan 16,2.945927446954141
146,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,26 Jan 16,8.845995893223819
148,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,8.114989733059549
149,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,12.58042436687201
149,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,11.40862422997947
151,Children With Biological Father,0,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,27 Jan 16,4.062970568104038
153,Children With Biological Father,0,Female,Yes,Yes,Biological Mother,Biolgical Mother, ,29 Jan 16,.4134154688569473
154,Children From Other Unions,1,Male,Yes,Yes,Biological Mother,Biolgical Mother, ,28 Jan 16,16.2984257357974
