PI7,ID,KST_Number,S19_1,S19_3,S19_4,S20_1,S20_3,S20_12,S20_13,S20_14,S20_15,S20_16,S20_18,S20_1_1,S20_1_2,S20_1_3,S20_2_1,S20_2_2,S20_2_3,S20_2_4,S20_2_5,S20_2_5_4,S20_2_5_0,S20_2_5_1,S20_2_5_2,S20_2_5_3,S20_2_5_97,S20_2_5_98,S20_3_1,S20_3_2,S20_3_3,S20_3_4,S20_3_5,S20_3_6,S20_3_6_0,S20_3_6_1,S20_3_6_2,S20_3_6_3,S20_3_6_4,S20_3_6_5,S20_3_6_6,S20_3_6_7,S20_3_6_8,S20_3_6_9,S20_3_6_97,S20_3_6_98,S20_3_7,S20_3_8,S20_3_9,S20_4_1,S20_4_2,S20_4_3,S20_4_3_1,S20_4_3_2,S20_4_3_3,S20_4_3_4,S20_4_3_5,S20_4_3_6,S20_4_3_7,S20_4_3_8,S20_4_3_97,S20_4_3_98,S20_4_5,S20_5_1,S20_5_2,S20_5_3,S20_5_4,S20_5_5,Additional_Record_Flag,KST_ID
6B1A20DC-EBAD-4236-9E14-0A684021602D,97,234,Maternal Aunt,Yes,24,No,,Don't Know,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Average,Not In The last Month,Not At All,Not In The last Month,Once A Week,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Agree,Agree,Agree,Yes,No,97234
450B6B94-95D0-429C-B185-FBC297852BF2,15,72,Maternal Grandmother,No,,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,, ,,,,, ,,,,,,,,,,,,,,,,,No,15072
450B6B94-95D0-429C-B185-FBC297852BF2,15,73,Maternal Grandfather,Yes,Don't Know,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Not Employed And Not Looking For Work,,Very Poor,1-3 Times In A Month,Not At All,1-3 Times In A Month,1-3 Times In A Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Somewhat Agree,Yes,No,15073
450B6B94-95D0-429C-B185-FBC297852BF2,15,133,Maternal Aunt,Yes,21,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Employed Part Time,Don't Know,Poor,Not In The last Month,Not At All,Not In The last Month,1-3 Times In A Month,4 0,Yes,Yes,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Agree,Don't Know,No,15133
450B6B94-95D0-429C-B185-FBC297852BF2,15,75, Paternal Grandfather,Yes,60,No,No,No,No,< 1 Hour,Matatu,0-49 KSH,No relations,Employed Part Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,           .,Yes,No,No,No,No,No,No,No,No,,,,           .,,,,,,,,,,,,,           .,,,No,,           .,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Yes,Yes,15075
450B6B94-95D0-429C-B185-FBC297852BF2,15, 1,Biological Father,Yes,Don't Know,No,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know, ,Don't Know,,Don't Know,Not In The last Month,0,Not In The last Month,Not In The last Month,           .,Yes,No,No,No,No,No,No,No,No,,,,           .,,,,,,,,,,,,,           .,,,No,,           .,,,,,,,,,,,,Don't Agree,Don't Agree,Don't Agree,Don't Agree,Yes,Yes,15001
450B6B94-95D0-429C-B185-FBC297852BF2,15,74,Paternal Grandmother,No,,,,,,,,, ,,,,,,,,           .,,,,,,,,,,,,,           .,,,,,,,,,,,,,           .,,,,,           .,,,,,,,,,,,,,,,,,Yes,15074
450B6B94-95D0-429C-B185-FBC297852BF2,15,132,Maternal Aunt,Yes,25,No,,No,Yes,< 1 Hour,Matatu,50-99 KSH, ,Employed Full Time,Don't Know,Don't Know,1-3 Times In A Month,Not At All,1-3 Times In A Month,Once A Week,1,No,No,Yes,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Yes,No,15132
450B6B94-95D0-429C-B185-FBC297852BF2,15,34,Maternal Aunt,Yes,30,No,,No,Yes,1<3 Hours,Matatu,100-249 KSH, ,Not Employed And Looking For Work,,Poor,1-3 Times In A Month,Somewhat,1-3 Times In A Month,1-3 Times In A Month,1,No,No,Yes,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Agree,Agree,Agree,Agree,Yes,No,15034
77731F81-FC90-4CA0-B0CE-5F6F8C3EAFC2,74,74,Paternal Grandmother,Yes,98,No,,No,No,,,, ,Employed Part Time,Don't Know,Average,Not In The last Month,0,Not In The last Month,Not In The last Month,4,Yes,No,No,No,No,No,No,No,,,,, ,,,,,,,,,,,,, ,,,No,, ,,,,,,,,,,,,Don't Agree,Somewhat Agree,Don't Agree,Somewhat Agree,No,No,74074
